candidate_id,rank,score,reasoning
CAND_0018499,1,0.807047,"7-year Senior Machine Learning Engineer at Zomato (Noida, Uttar Pradesh, India); advanced skills in Deep Learning, Weaviate, Recommendation Systems, scikit-learn. Strong engagement signals — open to work, responsive. GitHub score 95/100."
CAND_0064326,2,0.784364,"8-year Search Engineer at Sarvam AI (Gurgaon, Haryana, India); advanced skills in scikit-learn, PyTorch, Milvus, Deep Learning. Strong engagement signals — open to work, responsive. GitHub score 61/100."
CAND_0067866,3,0.759505,"6-year Senior Software Engineer (ML) at Tech Mahindra (Noida, Uttar Pradesh, India); advanced skills in Embeddings, pgvector, Elasticsearch, LoRA. Strong engagement signals — open to work, responsive. GitHub score 28/100."
CAND_0046525,4,0.759116,"6-year Senior Machine Learning Engineer at Genpact AI (Pune, Maharashtra, India); advanced skills in Elasticsearch, LangChain, Machine Learning, LlamaIndex. Strong engagement signals — open to work, responsive. GitHub score 37/100."
CAND_0081846,5,0.758869,"7-year Lead AI Engineer at Razorpay (Jaipur, Rajasthan, India); advanced skills in Data Science, Information Retrieval, LlamaIndex, pgvector. Strong engagement signals — open to work, responsive. GitHub score 34/100."
CAND_0073007,6,0.758431,"6-year AI Specialist at Aganitha (Bangalore, Karnataka, India); advanced skills in Embeddings, Speech Recognition, Statistical Modeling, FAISS. Strong engagement signals — open to work, responsive. GitHub score 66/100."
CAND_0096104,7,0.756486,"7-year AI Specialist at Yellow.ai (Delhi, Delhi, India); advanced skills in TTS, Data Science. Strong engagement signals — open to work, responsive. GitHub score 72/100."
CAND_0004402,8,0.752315,"6-year AI Research Engineer at Yellow.ai (Delhi, Delhi, India); advanced skills in TTS, Speech Recognition, PEFT, PyTorch. Strong engagement signals — open to work, responsive."
CAND_0037566,9,0.748001,"7-year Machine Learning Engineer at LinkedIn (Bangalore, Karnataka, India); advanced skills in Pinecone, Time Series, LlamaIndex, NLP. Strong engagement signals — open to work, responsive. GitHub score 73/100."
CAND_0042506,10,0.742476,"4-year Search Engineer at Verloop.io (Mumbai, Maharashtra, India); advanced skills in PEFT, TTS, scikit-learn, OpenCV. Strong engagement signals — open to work, responsive. GitHub score 64/100."
CAND_0041610,11,0.739747,"7-year Recommendation Systems Engineer at Zoho (Indore, Madhya Pradesh, India); advanced skills in OpenCV, LoRA, Statistical Modeling, Data Science. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0092706,12,0.736018,"6-year AI Research Engineer at Unacademy (Delhi, Delhi, India); advanced skills in Weights & Biases, Sentence Transformers, MLOps, Forecasting. Concerns: 120-day notice period."
CAND_0002025,13,0.734074,"6-year Senior AI Engineer at Apple (Trivandrum, Kerala, India); advanced skills in FAISS, TensorFlow, scikit-learn, OpenSearch. Reasonable fit on skills and experience; ranked lower due to location."
